Part_No,Del_Date,Ord_Qty,Mfg_No,Model,Po_No
131144-10920,04/10/2024,180,,JTT4100403390,SHIP 2
131144-10850,04/10/2024,192,,JTT4100403390,SHIP 2
132281-62200,04/10/2024,200,,JTT4100403390,SHIP 2
131144-10830,04/10/2024,210,,JTT4100403390,SHIP 2
132281-62210,04/10/2024,300,,JTT4100403390,SHIP 2
323794-18040-86,04/10/2024,300,,JTT4100403390,SHIP 2
131144-11320,04/10/2024,360,,JTT4100403390,SHIP 2
985111-14054-86,04/10/2024,600,,JTT4100403390,SHIP 2
131144-10750,04/10/2024,660,,JTT4100403390,SHIP 2
131158-10380,04/10/2024,1000,,JTT4100403390,SHIP 2
131144-10830,07/10/2024,180,,JTT4100703440,SHIP 2
132281-62200,07/10/2024,200,,JTT4100703440,SHIP 2
131144-10920,07/10/2024,270,,JTT4100703440,SHIP 2
131144-11320,07/10/2024,300,,JTT4100703440,SHIP 2
132281-62210,07/10/2024,300,,JTT4100703440,SHIP 2
323794-16120-86,07/10/2024,300,,JTT4100703440,SHIP 2
90080-50239,07/10/2024,300,,JTT4100703440,SHIP 2
131144-10750,07/10/2024,390,,JTT4100703440,SHIP 2
323794-16100-86,07/10/2024,400,,JTT4100703440,SHIP 2
985111-12027,07/10/2024,400,,JTT4100703440,SHIP 2
131159-10660,07/10/2024,600,,JTT4100703440,SHIP 2
90027-60001,07/10/2024,800,,JTT4100703440,SHIP 2
985111-14054-86,07/10/2024,900,,JTT4100703440,SHIP 2
131158-10380,07/10/2024,1000,,JTT4100703440,SHIP 2
415451-10620-C1,07/10/2024,400,,JTT4100703450,SHIP 2
363423-22010,07/10/2024,50,,JTT4100703460,SHIP 2
363432-22030,07/10/2024,200,,JTT4100703460,SHIP 2
363911-22030,07/10/2024,400,,JTT4100703460,SHIP 2
